HCT116_pH7A	HCT116_pH7B	HCT116_pH7C	HCT116_pH6A	HCT116_pH6B	HCT116_pH6C	Me3pH7A	Me3pH7B	Me3pH6A	Me3pH6B	Me3pH6C	Me3pH7C
ENSG00000228272	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228273	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228274	19	4	11	20	18	17	15	17	24	23	28	23
ENSG00000228275	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000228277	0	0	0	0	0	0	0	0	0	0	1	2
ENSG00000228278	0	0	2	0	2	2	0	0	2	0	2	0
ENSG00000228280	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000228283	85	94	96	97	97	76	89	104	77	74	77	80
ENSG00000228284	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228285	19	14	25	28	22	17	7	8	16	15	18	21
ENSG00000228286	0	0	0	0	0	0	0	2	1	1	0	0
ENSG00000228288	0	2	0	1	0	0	0	0	0	0	1	0
ENSG00000228289	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228290	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228291	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228292	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228293	7	4	2	2	2	3	1	3	5	1	2	1
ENSG00000228294	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228295	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228296	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228299	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228300	15	54	42	60	42	21	12	1	7	16	59	74
ENSG00000228301	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228302	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000228303	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228304	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228305	449	556	612	341	277	357	715	637	525	679	598	856
ENSG00000228307	0	0	0	0	0	0	1	0	2	1	4	0
ENSG00000228308	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000228309	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228312	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000228313	0	0	0	4	0	0	0	1	1	0	1	2
ENSG00000228314	0	0	0	0	0	0	14	7	7	7	6	10
ENSG00000228315	226	206	215	227	286	220	140	93	105	90	138	172
ENSG00000228316	2	1	0	1	0	0	0	1	0	0	0	0
ENSG00000228317	0	0	0	0	0	0	0	0	1	2	0	1
ENSG00000228318	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228319	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228321	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228322	1	0	0	3	0	0	0	0	1	0	0	0
ENSG00000228323	0	0	1	2	3	2	3	0	1	2	3	1
ENSG00000228325	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228326	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	20	22	17	21	30	12	11	7	1	9	8	14
ENSG00000228328	8	7	8	11	5	14	3	8	8	8	12	7
ENSG00000228329	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228330	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228331	3	2	5	5	2	4	7	4	6	6	1	5
ENSG00000228333	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228334	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000228335	14	12	23	12	20	22	6	13	7	14	7	15
ENSG00000228336	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228337	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228338	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228339	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228340	0	0	0	0	0	0	19	14	17	26	29	12
ENSG00000228341	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228343	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228345	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228347	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228348	6	2	2	3	0	1	1	1	0	2	2	2
ENSG00000228349	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228350	0	0	0	1	4	1	0	0	5	1	1	1
ENSG00000228351	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228352	0	1	1	0	0	1	0	0	0	0	1	0
ENSG00000228353	0	0	0	0	0	0	1	1	1	2	0	3
ENSG00000228354	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228355	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228357	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228358	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000228360	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228361	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228363	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000228364	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228365	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228366	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228367	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228368	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228369	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228370	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228371	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228372	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228373	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228374	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228375	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228376	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228377	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228379	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228380	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228382	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000228383	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228384	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228386	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228389	2	0	2	4	4	2	3	3	1	1	2	2
ENSG00000228391	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228392	0	0	0	0	0	0	0	0	0	1	4	0
ENSG00000228393	5	11	1	5	20	16	10	10	5	8	5	5
ENSG00000228395	2	0	1	2	4	1	3	9	6	10	1	3
ENSG00000228397	0	1	1	0	2	0	2	2	2	2	1	1
ENSG00000228398	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228399	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000228400	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228401	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228403	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228404	0	0	0	0	0	0	1	0	1	0	1	0
ENSG00000228405	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228407	10	5	17	2	8	9	7	4	10	5	4	5
ENSG00000228408	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228409	209	168	120	108	113	100	68	70	61	77	102	85
ENSG00000228410	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228411	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228412	1	2	1	3	0	1	4	6	14	7	4	2
ENSG00000228413	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228414	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000228415	0	1	0	0	1	1	0	1	0	0	0	0
ENSG00000228417	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228418	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228420	0	0	0	0	2	0	0	1	0	0	0	0
ENSG00000228421	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228422	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228423	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228425	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228426	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228427	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228429	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228430	0	0	0	0	0	1	0	1	0	0	0	0
ENSG00000228431	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000228432	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228433	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228434	4	5	5	12	9	8	9	8	1	6	4	15
ENSG00000228435	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228436	2	2	2	0	4	4	2	1	3	3	5	1
ENSG00000228437	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228438	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228439	30	19	20	25	34	18	9	15	13	13	16	9
ENSG00000228440	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228444	0	0	0	0	1	2	0	0	0	0	0	0
ENSG00000228445	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228446	21	10	7	12	19	17	4	8	7	3	7	14
ENSG00000228448	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228450	1	1	1	2	0	1	0	0	0	0	0	0
ENSG00000228451	6	3	3	11	10	13	5	6	14	11	19	7
ENSG00000228452	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228453	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228454	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228458	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228459	0	0	0	0	0	0	4	2	0	0	2	6
ENSG00000228460	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228461	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228462	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	0	0	0	1	3	0	16	9	17	27	12	11
ENSG00000228464	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228465	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228466	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228467	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228469	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228470	4	5	4	2	6	2	5	11	5	1	0	1
ENSG00000228471	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228473	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228474	466	535	553	624	596	528	718	824	837	982	1046	1032
ENSG00000228476	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228477	3	2	2	3	5	3	2	0	1	1	2	3
ENSG00000228478	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000228480	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228481	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000228482	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228483	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228484	0	0	0	0	2	1	0	0	0	0	0	0
ENSG00000228485	1	3	0	4	4	3	3	0	4	0	1	4
ENSG00000228486	8	1	6	15	26	14	21	7	8	10	11	15
ENSG00000228487	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228488	0	0	0	0	0	0	0	1	3	4	3	0
ENSG00000228489	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228490	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228491	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228492	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228495	0	0	0	0	0	1	0	0	1	0	0	0
ENSG00000228496	0	1	0	0	0	1	0	0	0	1	0	0
ENSG00000228498	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228499	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228501	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000228502	29	36	57	45	79	42	28	15	27	25	21	31
ENSG00000228503	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228504	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228505	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228506	43	31	19	31	42	31	20	23	27	26	30	26
ENSG00000228507	5	1	0	3	1	1	1	2	2	2	0	1
ENSG00000228509	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228510	0	0	2	1	6	1	0	0	4	3	5	3
ENSG00000228512	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228513	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228515	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228517	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228518	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228519	65	75	106	64	38	52	70	29	20	38	78	114
ENSG00000228520	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228521	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228522	2	1	0	11	8	11	2	2	1	2	0	0
ENSG00000228523	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228524	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228525	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228526	3	0	1	4	0	2	2	4	1	0	1	2
ENSG00000228527	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228528	0	0	0	0	2	2	0	0	0	0	0	0
ENSG00000228530	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228532	0	0	2	0	1	0	0	0	0	1	0	0
ENSG00000228534	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228536	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228537	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228538	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228539	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228540	5	2	0	5	1	2	14	8	19	6	12	13
ENSG00000228541	0	0	0	0	0	1	1	0	0	0	0	2
ENSG00000228543	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228544	7	6	8	13	26	4	2	1	5	6	10	19
ENSG00000228546	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228547	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228548	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228549	10	19	23	24	35	17	15	5	6	16	11	16
ENSG00000228550	3	0	4	2	0	0	0	0	0	0	0	0
ENSG00000228551	7	6	3	1	4	2	4	1	4	3	2	3
ENSG00000228553	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228554	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228557	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228559	0	0	0	1	0	0	0	1	1	0	0	0
ENSG00000228560	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000228561	0	0	1	0	0	0	0	0	0	0	1	0
ENSG00000228563	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000228564	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228566	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000228567	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228568	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228569	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228570	0	0	1	0	1	0	0	0	0	0	0	0
ENSG00000228571	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228572	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228573	1	0	0	0	0	0	1	0	3	3	1	1
ENSG00000228575	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228577	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228578	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228579	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228581	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228582	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228583	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228585	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228586	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000228587	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228589	167	130	185	92	81	134	198	193	138	129	132	148
ENSG00000228590	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228592	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228593	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594	4	3	4	12	7	3	6	0	5	8	33	35
ENSG00000228595	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228596	0	0	0	1	0	0	1	3	1	0	2	0
ENSG00000228597	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228598	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228599	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228600	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228601	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228604	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228605	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228606	1	0	0	3	0	1	1	0	0	0	0	0
ENSG00000228607	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228609	27	25	26	22	30	28	20	21	27	32	20	15
ENSG00000228610	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228611	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228612	22	25	30	13	17	18	11	9	8	5	9	12
ENSG00000228613	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228614	11	6	7	4	9	6	1	0	1	0	0	0
ENSG00000228615	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228616	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228617	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228618	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228620	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228622	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228623	0	0	1	1	1	0	110	118	158	158	149	106
ENSG00000228624	14	20	5	23	30	17	13	23	7	21	9	15
ENSG00000228625	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228626	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228627	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228628	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228629	0	0	0	0	0	0	1	0	0	2	2	2
ENSG00000228630	1	3	4	3	6	0	0	0	0	0	1	0
ENSG00000228634	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228635	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228636	0	0	0	0	0	0	0	1	2	0	0	0
ENSG00000228638	43	46	32	20	37	19	45	59	32	24	38	42
ENSG00000228639	0	0	0	0	0	0	0	0	0	0	2	1
ENSG00000228643	10	9	6	8	11	4	1	0	0	0	1	0
ENSG00000228645	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228646	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228648	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000228649	329	252	208	229	191	167	157	134	83	65	51	137
ENSG00000228650	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228651	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228652	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228653	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228655	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228656	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228657	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228658	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228659	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228660	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228661	0	1	0	0	1	0	1	0	0	2	0	0
ENSG00000228662	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228663	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228664	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228665	0	0	0	0	1	0	0	0	0	0	0	1
ENSG00000228666	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228667	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228668	0	0	3	1	1	1	0	0	0	0	0	0
ENSG00000228669	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228670	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228672	3	1	2	7	5	4	0	0	0	1	0	3
ENSG00000228674	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000228675	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000228677	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228679	0	1	0	0	3	0	0	0	0	2	2	0
ENSG00000228680	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000228681	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228682	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228683	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228684	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228685	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228686	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228687	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228688	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228689	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228691	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228692	0	0	0	0	0	0	10	3	4	2	3	7
ENSG00000228694	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228695	0	0	0	14	8	8	0	0	0	1	1	0
ENSG00000228696	31	27	15	28	30	20	10	6	10	2	10	10
ENSG00000228697	1	0	1	1	1	0	0	0	0	0	0	0
ENSG00000228698	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228700	0	0	0	0	1	1	0	0	0	0	0	0
ENSG00000228701	10	10	13	5	6	8	5	1	0	3	0	5
ENSG00000228702	1	0	0	0	1	1	0	0	1	1	0	1
ENSG00000228703	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228704	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228705	6	7	16	16	17	11	0	0	0	0	0	0
ENSG00000228706	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228707	0	2	0	2	0	0	5	5	10	12	6	6
ENSG00000228708	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000228709	0	0	0	0	0	0	6	2	43	27	37	5
ENSG00000228711	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228712	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228713	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228714	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228716	1063	924	1053	895	604	704	611	599	440	470	642	540
ENSG00000228717	0	0	0	1	0	0	0	0	2	1	1	1
ENSG00000228718	1	0	0	3	1	0	0	0	0	0	0	0
ENSG00000228719	0	0	0	1	6	0	1	0	0	2	0	0
ENSG00000228721	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228723	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228725	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228727	15	11	8	5	4	7	5	2	0	3	3	4
ENSG00000228728	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228729	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228730	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228733	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228734	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228735	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228736	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228737	0	2	2	0	2	2	0	0	0	0	0	0
ENSG00000228738	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228739	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228740	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228741	0	0	0	0	0	0	1	2	1	8	8	1
ENSG00000228742	7	3	8	9	7	7	73	47	52	43	36	47
ENSG00000228744	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228745	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228748	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228750	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000228751	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228753	2	2	1	2	1	4	0	2	0	0	2	3
ENSG00000228754	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228755	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228757	0	0	0	0	0	0	2	1	1	0	2	1
ENSG00000228759	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228760	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228762	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228763	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228764	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228765	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228766	32	27	23	14	6	17	23	40	26	30	30	38
ENSG00000228767	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228768	0	0	0	0	1	0	2	1	0	1	2	5
ENSG00000228769	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228770	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228771	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228772	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228775	6	0	2	9	6	3	2	2	3	5	4	0
ENSG00000228776	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000228777	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228778	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228779	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228780	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228781	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228782	118	94	90	60	89	74	37	39	29	34	43	32
ENSG00000228783	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228784	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228785	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228786	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228787	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228789	0	0	0	0	0	0	0	1	0	3	1	0
ENSG00000228790	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228791	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000228792	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000228793	1	1	0	2	2	1	0	0	0	0	2	0
ENSG00000228794	234	200	212	155	189	119	123	115	138	136	152	134
ENSG00000228797	1	4	5	7	5	1	4	2	3	5	17	8
ENSG00000228798	0	0	0	0	0	0	0	2	0	0	1	2
ENSG00000228799	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228800	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228801	1	1	4	6	5	1	5	4	3	9	12	5
ENSG00000228802	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228803	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228804	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228806	0	0	0	0	0	0	0	0	0	0	0	0
